lab_method_name,lab_csv_header,Element,ExtractionMethod,MeasurementMethod,lab_Unit_of_Measurement_Default,ValueUnits,UCUM_ValueUnits,AlternativeUnits,Modus_Soil_Test,Lab,lab_name
Sprinkle Infiltrometer,,Aggregate Stability,Infiltration,Single Ring Infiltration,,cm/min,,,S-AS-SI-OT,,
Bioavailable nitrogen measured by ACE Protein method,,,,,,,,,,,
PLFA,,,,,,,,,,,
β-Glucosidase (BG),,,,,,,,,,,
Enzyme Assay,,Enzyme activity,p-nitrophenol release,Spectrophotometric,,mg/kg,mg/kg,,S-EA-EA-PN-S-OT,,
autoclaved citrate extractable protein,,Bioavailable nitrogen,Bicinchoninic Acid Protein Assay,Calculated,,mg/g,mg/g,,S-SP-ACE-OT,,
Phospholipid fatty acid (PLFA),,Microbial Diversity,Buyer and Sasser 2012,Calculated,,%,%,,S-MD-BS-C-OT,,
Bulk Density,,Bulk Density,Intact Core,Weight,,g/cm3,g/cm3,,S-BD-Core.01-OT,,
pH test,,,,,,,,,,,
Soil Nitrate (PSNT),,,,,,,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN"
Soil Ammonium,,,,,,,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN"
Soluble Salts,,,,,,,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN"
Sodium,,,,,,,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN"
Neutralization Potential,,,,,,,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN"
Pyritic Sulfur,,,,,,,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN"
Potential Acidity,,,,,,,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN"
Net Neutralization Potential,,,,,,,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN"
