CLIENT,DATESUB,GROWER,PERSON,SAMPLEID,CROP,DATESAMPL,REPORTNUM,LABNUM,TYPE,N,P,K,MG,CA,NA,NO3_N,S,ZN,MN,FE,CU,B,CL,MO,AL,PO4_P,K_EXT,SO4_S
11111,20210505,The Grower LLC,Bob Person,A1,PEANUTS,        ,21-267-003,51000,4,3.26,0.21,1.61,0.36,1.37,0.01,,0.22,22.04,76.95,91.35,6.81,33.16,,,30.83,0,,0
11111,20210505,The Grower LLC,Bob Person,A2,PEANUTS,        ,21-267-003,51001,4,3.41,0.19,1.31,0.37,1.35,0.01,,0.19,23.96,67.87,165.2,6.1,31.96,,,41.38,0,,0
11111,20210505,The Grower LLC,Bob Person,A3,PEANUTS,        ,21-267-003,51002,4,2.98,0.15,1.44,0.3,0.99,0.01,,0.19,16,79.06,79.81,3.87,28.78,,,21.39,0,,0
11111,20210505,The Grower LLC,Bob Person,A4,PEANUTS,        ,21-267-003,51003,4,3.1,0.16,1.1,0.33,1.17,0.01,,0.16,16.25,84.12,84.56,5.3,28.02,,,24.37,0,,0
11111,20210505,The Grower LLC,Bob Person,A5,PEANUTS,        ,21-267-003,51004,4,2.96,0.19,1.87,0.33,1.39,0.01,,0.19,20.4,58.3,85.39,6.54,30.45,,,26.1,0,,0
11111,20210505,The Grower LLC,Bob Person,A6,PEANUTS,        ,21-267-003,51005,4,3.04,0.17,1.92,0.36,1.38,0.01,,0.19,18.33,80.98,85.49,6.79,36.95,,,27.32,0,,0
11111,20210505,The Grower LLC,Bob Person,A7,PEANUTS,        ,21-267-003,51006,4,3.15,0.19,1.77,0.38,1.56,0.01,,0.19,20.04,71.5,93.33,6.93,34.95,,,28.41,0,,0
11111,20210505,The Grower LLC,Bob Person,A8,PEANUTS,        ,21-267-003,51007,4,2.92,0.18,1.72,0.34,1.52,0.01,,0.23,17.29,59.21,89.78,6.01,28.41,,,25.16,0,,0
11111,20210505,The Grower LLC,Bob Person,A9,PEANUTS,        ,21-267-003,51008,4,3.16,0.17,1.46,0.31,1.25,0.01,,0.18,15.59,77.34,81.16,4.64,28.87,,,23.17,0,,0
11111,20210505,The Grower LLC,Bob Person,A10,PEANUTS,        ,21-267-003,51009,4,3.03,0.17,1.58,0.31,1,0.01,,0.16,13.99,49.06,79.47,5.1,29.55,,,23.16,0,,0
