lab_method_name,lab_type,lab_csv_header,r-Modus_Soil_Test_v1,r-Modus_Soil_Test_v2,r-Analyte,f-Analyte,r-Extraction_Method,f-Extraction_Method,r-Measurement_Method,f-Measurement_Method,r-Unit_of_Measurement,f-Unit_of_Measurement_Default,r-Unit_of_Measurement_Alt,f-Unit_of_Measurement_Alt,r-UCUM_Unit_String-Unit_of_Measurement_Default,f-UCUM_Unit_String_Default,r-UCUM_Unit_String-Unit_of_Measurement_Alt,f-UCUM_Unit_String_Alt,lu-Modus_Soil_Test_v1-r-Modus_Soil_Test_v2,notes,internal_status,r-Lab,lu-lab_name-r-Lab,lu-modus_id-r-Modus_Soil_Test_v1,lu-modus_id-r-Modus_Soil_Test_v2,lu-unit_of_measurement_name-r-Unit_of_Measurement_Alt,lu-Modus_Soil_Test_v2-r-Modus_Soil_Test_v1,example_test_result
"test for the ""a la carte"" package",,,,,,,,,,,,,,,,,,,,,,_For Testing,_For Testing,,,,,
"test, delete",,testing,,L_MODV2_SOIL_CO3_002,Carbonate,Carbonate,Slurry,Slurry,Titration,Titration,meq/L,meq/L,,,,meq/L,,,S-CO3-W1:1.12,,,_For Testing,_For Testing,,L_MODV2_SOIL_CO3_002,,,
testie pants,,,,,,,,,,,,,,,,,,,,,,_For Testing,_For Testing,,,,,
delete test,Soil,,,L_MODV2_SOIL_CEC_005,Cation Exchange Capacity,Cation Exchange Capacity,Barium Chloride,Barium Chloride,ICP-OES / AAS,ICP-OES / AAS,cmol/kg,cmol/kg,,meq/100g,,cmol/kg,,,S-CEC-BACL2.23,,,_For Testing,_For Testing,,L_MODV2_SOIL_CEC_005,,,
(Alfalfa) P,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
B,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Bulk Density,Soil,,,,,,,,,,,,,,,,,,,Disturbed Soil,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Ca,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
CaCO3 Equivalency (Calcium Carbonate),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
CEC,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
CEC – Cation Exchange Capacity,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Chloride Analysis,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Coarse Fragments,Soil,,,,,,,,,,,,,,,,,,,>2mm,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Cu,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Eff,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Electrical Conductivity of Saturation Extract,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Fe,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
H2O,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Hydrometer Method,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
K,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Mg,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Mn,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Na,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
Na – Gypsum Requirement,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,
