EventDate,EventType,SampleNumber,FMISSampleID,DepthID,StartingDepth [in],EndingDepth [in],ColumnDepth [in],OM [%],ENR [ppm],P (B1 1:10) [ppm],HCO3 (SP) [ppm],pH [none],K [ppm],Mg [mg/kg],Ca [mg/kg],Na [mg/kg],B-Ph [none],H [ppm],CEC [cmol(+)/kg],K [mg/kg],H [mg/kg],NO3-N [ppm],S [ppm],Zn [ppm],Mn [ppm],Fe [ppm],Cu [ppm],B [ppm],SS [ppm],NH4-N [ppm],Cl [ppm],BS-Ca [%],BS-Mg [%],BS-Na [%],BS-B [%],ESP [%],SO4-S [ppm],SAR [none],ECe [dS/m],SAT_PCT [none],CO3 [ppm],HCO3 [ppm],P [ppm],Al [ppm]
2022-07-20,Soil,55260,1A-C,1,0,8,8,2.9,88.4,185,139.8,5.8,313,16.8,52.6,9.1,6.4,6.1,32,2.5,19,19,432,30.3,17.8,93,12.6,1,2.8,0,,,,,,,,,,,,,,
2022-07-20,Soil,55261,2A-C,1,0,8,8,2.2,74.4,62.2,52.6,6.5,554,16.7,62.1,9.7,6.7,2.7,35.5,4,7.5,27.8,889,2.1,13.3,19.2,2.6,1.3,4.8,0,,,,,,,,,,,,,,
2021-10-05,Soil,55820,4E571,1,0,8,8,1.2,54,58.8,36.9,6.1,90.3,20.1,49.7,14.4,6.7,1.8,13.2,1.8,14,10.2,228.8,1.1,8.7,21.7,1.1,0.6,2.8,,3,11.8,5.5,21.6,0.8,8.7,228.8,7.3,2.8,35.2,0,0.8,,
2021-10-05,Soil,55821,4F365,1,0,8,8,2.1,72.2,59.9,37.3,7,141.2,22,59.2,17.4,,,25.4,1.4,0,23.1,752.3,2.5,4.1,16,1.5,1.8,4.4,,7.3,18.1,8.6,33.3,1.4,10.9,752.3,9.1,4.4,46.1,0,1.7,,
2021-10-05,Soil,55822,C9FF3,1,0,8,8,1.4,57.8,55.8,28.9,6.2,94.6,17.8,50.4,18.6,6.7,2.3,18.8,1.3,12,39.1,523,1.7,17.1,16.9,1.1,0.9,4.5,,6,18.4,8,35.8,1.3,11.7,523,9.9,4.5,34.4,0,0.9,,
2021-10-05,Soil,55823,4E61E,1,0,8,8,1.4,58.8,14.5,8.4,8.3,269,21,51.6,24.9,,,27,2.5,0,1,196.8,0.7,4.5,6.1,1.1,8.5,2.3,,6.3,3.7,4.4,23.8,2.6,13.9,196.8,11.8,2.3,71.8,0,2.6,,
2021-10-05,Soil,55824,508F5,1,0,8,8,0.9,47.8,54.9,23.2,7.1,509.3,32.4,56.3,3.3,,,16.3,8,0,3.7,556.8,0.9,4,5.3,1.1,1.6,3.3,,8.5,22.3,16.8,6.4,1.2,0.9,556.8,1.5,3.3,32.6,0,1,,
2021-10-05,Soil,55825,4E605,1,0,8,8,1.1,52.4,178.6,107.4,5.8,179.4,22.7,49,6.4,6.6,2.9,15.4,3,19,4,204.9,1.9,11.4,50.9,1.9,0.4,2.5,,12.7,14.2,7.8,10.7,0.2,3.4,204.9,3.2,2.5,40,0,0.4,,
2021-10-05,Soil,55826,5800000,1,0,8,8,1.8,65.6,65.9,36.8,7,169,29.7,62.3,6.1,,,23.4,1.8,0,1.2,144.9,0.1,1,1,0.1,0.1,1.8,,11.8,8.6,5,8.7,0.4,3.5,144.9,3.3,1.8,51.1,0,2.3,,
2021-10-05,Soil,55827,0592F,1,0,8,8,2.2,74.4,73.4,43,7.3,154.8,24.5,69,5.2,,,28.7,1.4,0,1.1,274.2,0.1,1,1,0.1,0.1,2.4,,15.5,15.7,7.3,10,0.3,3,274.2,3,2.4,52,0,2.2,,
